x(m),n_pred,n_true,error
1070.0,0.040000156,0.04,1.5646219e-07
1075.0,0.04002306,0.04,2.3059547e-05
1080.0,0.040043287,0.04,4.3287873e-05
1085.0,0.040066108,0.04,6.6109e-05
1090.0,0.040066216,0.04,6.6217035e-05
1095.0,0.04008867,0.04,8.866936e-05
1100.0,0.040109236,0.04,0.00010923669
1105.0,0.040117804,0.04,0.000117804855
1110.0,0.040135466,0.04,0.00013546646
1115.0,0.040153727,0.04,0.00015372783
1120.0,0.040154494,0.04,0.00015449524
1125.0,0.04018181,0.04,0.00018180907
1130.0,0.04018799,0.04,0.00018798932
1135.0,0.040203128,0.04,0.0002031289
1140.0,0.040207937,0.04,0.00020793825
1145.0,0.040206596,0.04,0.00020659715
1150.0,0.040206052,0.04,0.00020605326
1155.0,0.04020343,0.04,0.00020343065
1160.0001,0.040201664,0.04,0.00020166487
1165.0,0.04017938,0.04,0.00017938018
1170.0001,0.04017176,0.04,0.00017176196
1175.0,0.040153347,0.04,0.00015334785
1180.0001,0.040128864,0.04,0.00012886524
1185.0001,0.04010453,0.04,0.000104531646
1190.0,0.04007282,0.04,7.2821975e-05
1195.0,0.04003868,0.04,3.867969e-05
1200.0,0.03999208,0.04,7.919967e-06
1205.0,0.03994024,0.0399375,2.7418137e-06
1210.0,0.039894737,0.039875,1.9736588e-05
1215.0,0.039844133,0.039812498,3.1635165e-05
1220.0,0.039781123,0.03975,3.11248e-05
1225.0,0.039714605,0.0396875,2.7105212e-05
1230.0,0.039637897,0.039625,1.2896955e-05
1235.0,0.039569575,0.039562497,7.0780516e-06
1240.0,0.039495695,0.039499998,4.3027103e-06
1245.0,0.039415542,0.0394375,2.1956861e-05
1250.0,0.039334007,0.039375,4.0993094e-05
1255.0,0.039241433,0.0393125,7.106736e-05
1260.0,0.039155245,0.039249998,9.475276e-05
1265.0,0.039061673,0.0391875,0.0001258254
1270.0,0.038963914,0.039125,0.00016108528
1275.0,0.038872957,0.0390625,0.00018954277
1280.0,0.038773112,0.039,0.0002268888
1285.0001,0.03867361,0.038937498,0.0002638884
1290.0,0.03856512,0.038875,0.0003098771
1295.0001,0.03846582,0.038812496,0.00034667552
1300.0,0.03836347,0.03875,0.00038652867
1305.0001,0.038265366,0.038687497,0.00042213127
1310.0,0.038159497,0.038625,0.0004655011
1315.0,0.038058773,0.0385625,0.0005037263
1320.0,0.037958056,0.0385,0.00054194406
1325.0,0.03786429,0.0384375,0.0005732104
1330.0,0.03776315,0.038374998,0.00061184913
1335.0,0.03766357,0.0383125,0.00064892694
1340.0,0.037564397,0.03825,0.0006856024
1345.0,0.03747534,0.0381875,0.00071216
1350.0,0.037381534,0.038125,0.00074346736
1355.0,0.037294097,0.038062498,0.0007684007
1360.0,0.03720458,0.038,0.00079542026
1365.0,0.037118003,0.0379375,0.0008194968
1370.0,0.037036672,0.037875,0.00083832815
1375.0,0.036954306,0.037812497,0.0008581914
1380.0,0.036876895,0.03775,0.00087310374
1385.0,0.03680279,0.0376875,0.000884708
1390.0,0.036742546,0.037625,0.0008824542
1395.0,0.03667122,0.0375625,0.00089127943
1400.0,0.03660876,0.037499998,0.00089123845
1405.0,0.03653477,0.0374375,0.00090272725
1410.0001,0.036480505,0.037375,0.00089449435
1415.0,0.036420487,0.0373125,0.0008920133
1420.0001,0.03637033,0.037249997,0.0008796677
1425.0,0.036324643,0.037187498,0.00086285546
1430.0001,0.036272265,0.037125,0.00085273385
1435.0,0.036226843,0.0370625,0.0008356571
1440.0,0.036191523,0.037,0.0008084774
1445.0,0.03615261,0.036937498,0.00078488886
1450.0,0.036114506,0.036875,0.00076049194
1455.0,0.036082044,0.0368125,0.0007304549
1460.0,0.036055736,0.03675,0.0006942637
1465.0,0.03602504,0.0366875,0.0006624609
1470.0,0.036004998,0.036624998,0.00062000006
1475.0,0.035974808,0.0365625,0.0005876906
1480.0,0.035954148,0.0365,0.0005458519
1485.0,0.0359428,0.0364375,0.0004946999
1490.0,0.035930187,0.036375,0.00044481456
1495.0,0.03591808,0.0363125,0.00039441884
1500.0,0.03590513,0.03625,0.00034486875
1505.0,0.03589642,0.0361875,0.00029107928
1510.0,0.035889752,0.036125,0.00023524836
1515.0,0.035876364,0.036062498,0.00018613413
1520.0,0.035877056,0.036,0.00012294203
1525.0001,0.03588321,0.0359375,5.4288656e-05
1530.0,0.035876535,0.035875,1.5348196e-06
1535.0001,0.03588117,0.035812497,6.8672e-05
1540.0,0.035875954,0.035749998,0.00012595579
1545.0001,0.03588435,0.0356875,0.00019685179
1550.0,0.035896033,0.035625,0.0002710335
