time,distance,h_error,Q_error,h_true,h_pred,Q_true,Q_pred
40.0,600.0,0.0047884583,0.012014031,0.40733927,0.41212773,0.5084904,0.5205044
40.0,700.0,0.0050185323,0.01158914,0.4063651,0.41138363,0.4730418,0.48463094
40.0,800.0,0.0063819587,0.007973701,0.4036978,0.41007975,0.44506648,0.45304018
40.0,900.0,0.0073061883,0.013880372,0.40000632,0.4073125,0.4338326,0.44771296
40.0,1000.0,0.004918188,0.00971958,0.39999998,0.40491816,0.43379825,0.44351783
40.0,1100.0,0.002570659,0.0047952533,0.4000003,0.40257096,0.4337968,0.43859205
40.0,1200.0,0.0015029907,0.0009784997,0.39903584,0.40053883,0.43520847,0.43618697
40.0,1300.0,0.0018443167,0.0031135678,0.39715183,0.39899614,0.4436944,0.44680798
40.0,1400.0,0.00082716346,0.001933068,0.3969575,0.39778465,0.45819658,0.46012965
40.0,1500.0,2.3841858e-07,0.00078231096,0.396747,0.39674723,0.47369164,0.47290933
40.0,1600.0,0.00052574277,0.0021919012,0.39651397,0.39598823,0.49026135,0.48806944
40.0,1700.0,0.00075268745,0.0023937225,0.39625508,0.3955024,0.5080205,0.5056268
40.0,1800.0,0.0006877184,0.002122879,0.39596638,0.39527866,0.52710056,0.5249777
40.0,1900.0,0.00042694807,0.0023024678,0.39564314,0.3952162,0.5476532,0.54535073
40.0,2000.0,0.00010409951,0.0036486983,0.3954159,0.3953118,0.5695954,0.5659467
50.0,0.0,0.00026214123,0.023294449,0.40147215,0.4017343,0.83374494,0.8570394
50.0,100.0,0.014194131,0.03977883,0.41979367,0.40559953,0.8170169,0.7772381
50.0,200.0,0.009700239,0.029838085,0.4190077,0.40930745,0.74101967,0.7111816
50.0,300.0,0.003001839,0.009036243,0.41545743,0.4124556,0.66577363,0.6567374
50.0,400.0,0.0017086565,0.0045692325,0.41283172,0.41454038,0.60493624,0.6095055
50.0,500.0,0.004540473,0.011846781,0.41083166,0.41537213,0.5546276,0.5664744
50.0,600.0,0.005926043,0.014518797,0.40927088,0.41519693,0.5122692,0.526788
50.0,700.0,0.006228894,0.014251739,0.40803176,0.41426066,0.4760674,0.49031913
50.0,800.0,0.007870585,0.010341108,0.4047762,0.41264677,0.4476266,0.4579677
50.0,900.0,0.009126216,0.01702097,0.40015495,0.40928116,0.43441606,0.45143703
50.0,1000.0,0.006282389,0.012335986,0.39999995,0.40628234,0.43379816,0.44613415
50.0,1100.0,0.0033836067,0.0064482987,0.40000173,0.40338534,0.4337944,0.4402427
50.0,1200.0,0.0020423532,0.0018107593,0.39884305,0.4008854,0.43525192,0.43706268
50.0,1300.0,0.002454877,0.0041929185,0.39652497,0.39897984,0.44287297,0.4470659
50.0,1400.0,0.0012464821,0.0028148293,0.39621112,0.3974576,0.45697552,0.45979035
50.0,1500.0,0.00020936131,0.00031277537,0.39594996,0.39615932,0.47234556,0.4720328
50.0,1600.0,0.0004554093,0.0020198226,0.39566097,0.39520556,0.4887727,0.48675287
50.0,1700.0,0.0007517934,0.0023955107,0.39534009,0.3945883,0.5063686,0.50397307
50.0,1800.0,0.0006929934,0.002173841,0.3949825,0.3942895,0.5252609,0.5230871
50.0,1900.0,0.00038668513,0.0022874475,0.39458224,0.39419556,0.54559654,0.5433091
50.0,2000.0,2.270937e-05,0.0034201145,0.39431414,0.39429143,0.5672441,0.563824
60.0,0.0,0.00022646785,0.023526192,0.40176725,0.40199372,0.8318591,0.8553853
60.0,100.0,0.0147475,0.038620353,0.42135128,0.40660378,0.8169552,0.77833486
60.0,200.0,0.012319237,0.038784146,0.42335394,0.4110347,0.75333136,0.7145472
60.0,300.0,0.0040861964,0.0127619505,0.41889414,0.41480795,0.6745449,0.6617829
60.0,400.0,0.0016976595,0.0040882826,0.4156343,0.41733196,0.6114577,0.615546
60.0,500.0,0.0052051544,0.013213456,0.41316542,0.41837057,0.5596157,0.5728291
60.0,600.0,0.0069318116,0.016726315,0.41124716,0.41817898,0.51617396,0.5329003
60.0,700.0,0.007337421,0.016609699,0.40971437,0.4170518,0.47922724,0.49583694
60.0,800.0,0.009225994,0.012538642,0.40590513,0.41513112,0.45019045,0.4627291
60.0,900.0,0.010741025,0.01962924,0.40043437,0.4111754,0.43538266,0.4550119
60.0,1000.0,0.0075820386,0.014820993,0.4000003,0.40758234,0.43379998,0.44862098
60.0,1100.0,0.0041508377,0.007970393,0.39999533,0.40414616,0.43381396,0.44178435
60.0,1200.0,0.0025248528,0.0025850832,0.39866397,0.40118882,0.43526384,0.43784893
60.0,1300.0,0.002966404,0.005025476,0.39596352,0.39892992,0.44222996,0.44725543
